HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
4,65,5.41037189e-05,1.14506793e-05,5.65698756e-05,177
4,66,7.64367724e-05,1.24217477e-04,5.68201103e-05,469
4,67,9.21186802e-05,1.14547702e-05,5.91498028e-05,287
4,68,1.24364824e-05,3.75919844e-05,5.86577953e-05,217
4,69,6.48687783e-05,5.03918236e-05,5.95458077e-05,375
4,70,8.93492324e-05,6.69170331e-05,6.10078241e-05,2245
4,71,5.19991372e-05,2.47938278e-05,6.15095414e-05,474
4,72,6.99655284e-05,6.23007145e-05,6.21368890e-05,505
4,73,1.39200993e-05,5.05083044e-05,6.15958706e-05,21
4,74,1.40478796e-05,1.00588324e-04,6.24111490e-05,622
4,75,3.99611890e-05,3.12795419e-05,6.26354667e-05,302
4,76,8.06532189e-05,5.64891452e-05,6.25846806e-05,260
4,77,5.18898378e-05,1.00828409e-04,6.22177904e-05,119
4,78,1.17413358e-04,2.74433260e-05,6.22498846e-05,46
4,79,5.43964416e-05,1.02564460e-04,6.27386544e-05,283
4,80,6.71196613e-05,8.82784734e-05,6.27074478e-05,36
5,1,2.58847540e-05,2.72667858e-05,4.35935908e-06,4237
5,2,9.99478580e-05,5.14543062e-05,1.06377890e-07,28
5,3,2.45945739e-05,5.66995004e-05,3.29918208e-07,135
5,4,8.18832195e-05,6.43930616e-05,2.92577880e-07,229
5,5,8.51705481e-05,6.58603894e-05,7.46552359e-07,806
5,6,8.80829466e-05,7.68986501e-05,2.39627582e-07,198
5,7,2.29774359e-05,8.34472230e-05,4.29850871e-07,374
5,8,2.03790969e-05,8.69523574e-05,6.26944143e-07,376
5,9,1.21020617e-04,9.34773052e-05,1.25947523e-07,90
5,10,7.75863282e-06,1.06105341e-04,2.52645509e-06,754
5,11,1.01258564e-04,1.08951535e-04,2.85566870e-07,315
5,12,1.84013679e-05,1.14519389e-04,3.82592043e-06,8793
5,13,5.55111692e-05,1.13602582e-04,6.32368710e-07,675
5,14,9.95790469e-05,1.17307653e-04,2.76213825e-07,161
5,15,1.11971647e-04,1.18629803e-04,2.24306677e-06,2212
5,16,9.74900613e-05,1.19982549e-04,3.45586386e-07,175
5,17,1.76054573e-06,5.83018955e-05,3.68319365e-06,157
5,18,8.45528339e-05,6.55335170e-05,8.60421733e-06,1523
5,19,2.18098558e-05,8.56037004e-05,7.26786948e-06,1315
5,20,9.21747560e-05,3.24234475e-06,6.89336093e-06,183
5,21,1.00445519e-04,4.90771672e-05,6.53878033e-06,39
5,22,8.35516767e-05,9.00475352e-05,8.91726268e-06,297
5,23,1.01353820e-04,1.10872585e-04,9.91873003e-06,366
5,24,9.31531249e-05,1.12006368e-04,1.04280698e-05,207
5,25,1.22580590e-04,9.17925790e-05,1.38384648e-05,1322
5,26,1.01154452e-04,4.61280179e-05,1.69155574e-05,1040
5,27,8.07816323e-05,4.38175630e-05,1.71574229e-05,336
5,28,8.13799707e-05,6.42089799e-05,1.82898166e-05,538
5,29,5.02574767e-05,1.55457928e-05,1.82634030e-05,1096
5,30,1.06561107e-04,1.07029344e-04,1.81712057e-05,275
5,31,1.21334255e-04,7.50914623e-05,2.01886942e-05,383
5,32,1.35566315e-05,2.47749485e-05,2.08200345e-05,233
5,33,8.23961236e-05,6.72565802e-05,2.76772844e-05,6499
5,34,1.20004734e-05,3.89917514e-05,2.46829586e-05,298
