HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
1,1,9.40076934e-05,1.44726209e-06,2.77998379e-06,2835
1,2,2.58609434e-05,2.71803128e-05,4.13056068e-06,11789
1,3,1.00397163e-04,4.29313150e-05,3.36298513e-07,154
1,4,9.81498379e-05,5.04379896e-05,0.00000000e+00,11
1,5,8.52757512e-05,6.26561596e-05,4.27649866e-06,12299
1,6,7.80691189e-05,6.51172159e-05,1.64647702e-07,147
1,7,2.33629889e-05,7.37512164e-05,3.92551385e-07,590
1,8,8.78513019e-05,7.67989841e-05,1.36370841e-06,1885
1,9,2.17829074e-05,8.53725869e-05,4.43495674e-06,9524
1,10,1.21847450e-04,9.16669887e-05,9.48136221e-06,8521
1,11,4.36636310e-06,1.04100705e-04,2.36900132e-06,2761
1,12,1.01461781e-04,1.08820030e-04,1.84747660e-06,3189
1,13,1.83579123e-05,1.14618102e-04,4.17043657e-06,15506
1,14,1.02320628e-04,1.13686270e-04,7.14725331e-07,960
1,15,5.59654218e-05,1.17090931e-04,1.15736827e-06,2243
1,16,9.95101072e-05,1.17155083e-04,1.71546475e-07,112
1,17,1.14915078e-04,1.18723707e-04,1.92567563e-06,3049
1,18,9.77427553e-05,1.20335266e-04,8.31918157e-07,1424
1,19,1.01577520e-04,1.10771711e-04,9.76357387e-06,2652
1,20,8.35664177e-05,9.00546147e-05,9.14286647e-06,907
1,21,7.76250308e-05,6.67000641e-05,8.22680340e-06,11
1,22,9.29131347e-05,1.11978741e-04,1.12026255e-05,1844
1,23,4.89843696e-05,1.39358035e-05,1.68686984e-05,2338
1,24,1.38767937e-04,3.51752933e-05,1.55881298e-05,206
1,25,9.92782880e-05,4.60664960e-05,1.75531623e-05,2932
1,26,7.85672601e-05,4.55900445e-05,1.79361050e-05,659
1,27,1.06380074e-04,1.07255895e-04,1.80196803e-05,1254
1,28,1.20864781e-04,7.70197803e-05,2.04008775e-05,1390
1,29,1.34519232e-05,2.48434735e-05,2.09987302e-05,1393
1,30,8.22476650e-05,6.74759722e-05,2.77136915e-05,11291
1,31,1.19516990e-05,3.93808732e-05,2.50570974e-05,1426
1,32,1.31266497e-04,5.69934673e-05,2.66249517e-05,3651
1,33,1.00117999e-04,1.20892750e-04,2.48526740e-05,875
1,34,6.65819880e-06,7.04523482e-05,2.78960706e-05,1511
1,35,2.86346658e-05,1.03720384e-04,2.59999943e-05,12
1,36,1.27880572e-04,2.59935805e-05,3.17070371e-05,1447
1,37,1.40319040e-04,1.64931971e-05,3.13553755e-05,398
1,38,7.58335009e-05,1.23537873e-04,3.22070337e-05,1297
1,39,1.05539628e-04,3.86106985e-05,3.51821036e-05,3410
1,40,5.42724520e-05,8.60295113e-05,3.64360058e-05,2364
1,41,8.47398769e-05,6.69187866e-05,3.66175445e-05,732
1,42,2.56845306e-05,1.28450149e-04,3.74333613e-05,2776
1,43,9.85309525e-05,1.13339911e-05,3.68766559e-05,443
1,44,1.12238900e-04,3.58397556e-05,3.96140276e-05,1264
1,45,1.08333690e-04,2.25302701e-05,4.12874178e-05,2346
1,46,9.43043851e-05,5.34691681e-05,4.01531579e-05,1616
1,47,7.62658747e-05,5.56031737e-05,4.46481645e-05,6057
