HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
1,1,9.39503516e-05,1.44180524e-06,2.60730599e-06,2085
1,2,2.58098571e-05,2.72897942e-05,4.09666109e-06,8487
1,3,9.84189610e-05,4.57185306e-05,0.00000000e+00,18
1,4,8.45852337e-05,5.82426510e-05,0.00000000e+00,12
1,5,8.53627935e-05,6.26205510e-05,4.24401196e-06,10171
1,6,7.69568869e-05,6.53905226e-05,2.26559095e-07,213
1,7,7.43422424e-05,7.03170226e-05,3.70673270e-08,40
1,8,7.82292336e-05,7.07527797e-05,7.89067744e-09,62
1,9,7.63062271e-05,7.19347372e-05,3.24619833e-07,257
1,10,2.33756000e-05,7.37496157e-05,5.04774107e-07,861
1,11,8.79864892e-05,7.68132959e-05,1.58455907e-06,2346
1,12,2.18314217e-05,8.54577738e-05,4.29757210e-06,11560
1,13,1.21892255e-04,9.16871286e-05,8.87148508e-06,10318
1,14,4.25822054e-06,1.04162631e-04,2.44137618e-06,1919
1,15,1.01652033e-04,1.10467510e-04,4.83812846e-06,11130
1,16,1.83858210e-05,1.14573661e-04,4.32533443e-06,16929
1,17,5.60221852e-05,1.17059615e-04,1.22229062e-06,2620
1,18,9.95642768e-05,1.17040167e-04,4.32064326e-07,470
1,19,1.14952629e-04,1.18685341e-04,2.03492800e-06,4256
1,20,9.78080279e-05,1.20319040e-04,9.05048353e-07,1650
1,21,8.35708925e-05,9.00443192e-05,9.16150657e-06,1117
1,22,9.29228772e-05,1.11982408e-04,1.12338666e-05,2284
1,23,4.89905105e-05,1.39246358e-05,1.68768402e-05,2000
1,24,9.92723799e-05,4.60548436e-05,1.75729292e-05,2808
1,25,1.06380015e-04,1.07268395e-04,1.80227416e-05,1707
1,26,7.85528537e-05,4.55927875e-05,1.78930823e-05,817
1,27,8.22980874e-05,6.74562980e-05,2.78744119e-05,11602
1,28,1.20865530e-04,7.70178303e-05,2.04458447e-05,1124
1,29,1.34852789e-05,2.48435663e-05,2.10069284e-05,202
1,30,1.00095982e-04,1.20902798e-04,2.48630658e-05,1246
1,31,1.31267545e-04,5.69987242e-05,2.65993222e-05,3375
1,32,1.19453762e-05,3.93578848e-05,2.49296463e-05,326
1,33,2.86318045e-05,1.03761253e-04,2.60400102e-05,156
1,34,6.67410404e-06,7.04374033e-05,2.79372598e-05,999
1,35,7.58345996e-05,1.23548991e-04,3.21521438e-05,1780
1,36,1.27886145e-04,2.59959270e-05,3.17496379e-05,781
1,37,1.05536797e-04,3.86107422e-05,3.51822746e-05,3078
1,38,5.42411326e-05,8.60663058e-05,3.64921943e-05,2911
1,39,2.56711410e-05,1.28446089e-04,3.73777511e-05,2980
1,40,9.85334773e-05,1.13242841e-05,3.68529181e-05,274
1,41,4.13919661e-05,1.33099602e-04,4.20304241e-05,4712
1,42,1.12226451e-04,3.58317484e-05,3.96132746e-05,865
1,43,9.42981133e-05,5.34620121e-05,4.01082398e-05,1618
1,44,7.62686104e-05,5.56186205e-05,4.46215672e-05,6118
1,45,1.08332606e-04,2.25176427e-05,4.13511734e-05,1838
1,46,5.73324869e-05,8.67915151e-05,4.06851723e-05,941
1,47,6.55510667e-05,1.35623370e-04,4.23227284e-05,1771
1,48,8.82607274e-05,1.11773170e-05,4.27711020e-05,535
1,49,5.25590222e-05,2.84169128e-05,4.23836864e-05,374
1,50,5.07399309e-05,6.33602831e-05,4.35051006e-05,656
1,51,7.06153733e-05,5.38039276e-05,4.60427291e-05,3051
1,52,1.42498775e-05,5.31559526e-05,4.55330955e-05,1547
1,53,1.87814312e-05,5.68917494e-05,4.46325794e-05,1078
1,54,8.47940282e-06,6.58865829e-05,4.60761003e-05,73
1,55,1.36703980e-04,1.13061993e-04,5.00361966e-05,1577
1,56,2.88796527e-05,2.13295225e-05,4.71443745e-05,318
1,57,1.15461429e-04,4.27201594e-05,5.06928009e-05,3636
1,58,8.63774476e-05,7.01112440e-05,4.80746712e-05,40
1,59,4.42426281e-05,1.04915991e-04,5.08201629e-05,1727
1,60,1.13501133e-04,1.29385342e-04,5.37766173e-05,2681
1,61,1.11104546e-05,3.08286944e-05,5.09641759e-05,755
1,62,1.76764406e-05,7.09348460e-05,5.09975507e-05,1043
1,63,1.13163682e-04,2.45303490e-05,5.19676942e-05,961
1,64,4.58365721e-05,1.24692728e-04,5.45427247e-05,4934
1,65,3.35883415e-05,9.02304382e-05,5.35854851e-05,2148
1,66,5.01303839e-05,9.03663749e-05,5.31781261e-05,2424
1,67,9.21907413e-05,1.18031290e-04,5.51841440e-05,1291
1,68,7.81340132e-05,1.24322905e-04,5.72790486e-05,2108
1,69,5.40200635e-05,1.13495398e-05,5.65553928e-05,143
1,70,8.84651090e-05,6.68064022e-05,6.15013123e-05,4909
1,71,7.36621805e-05,5.49632314e-05,5.68947507e-05,196
1,72,9.19017766e-05,1.15243020e-05,5.86170936e-05,730
1,73,1.49533998e-05,3.74926603e-05,5.86218484e-05,359
1,74,7.89905534e-05,5.45583644e-05,6.08312985e-05,1946
1,75,6.38249912e-05,5.20653557e-05,5.99594568e-05,1654
1,76,5.11211547e-05,2.51964320e-05,6.16502439e-05,1527
1,77,6.98861186e-05,6.23767119e-05,6.25003086e-05,1833
1,78,5.32998747e-05,9.86192390e-05,6.18510458e-05,970
1,79,1.18174110e-04,2.80677032e-05,6.22888474e-05,726
1,80,3.97877884e-05,3.27356393e-05,6.26681212e-05,871
1,81,6.70296067e-05,8.92584721e-05,6.26970505e-05,1225
1,82,1.47271076e-05,9.98618343e-05,6.27536501e-05,2163
1,83,5.29471909e-05,1.02138692e-04,6.26246183e-05,1566
1,84,1.38710193e-05,5.08867415e-05,6.22808657e-05,57
2,1,9.37220320e-05,1.97857412e-06,3.22439109e-06,1333
2,2,2.57749816e-05,2.73491823e-05,4.29900001e-06,8092
2,3,1.01071906e-04,4.32457709e-05,7.06186825e-07,469
2,4,9.89075634e-05,4.83321637e-05,2.63302667e-07,598
2,5,4.12287960e-07,5.57366329e-05,4.46823748e-07,282
2,6,2.43851955e-05,5.69463809e-05,0.00000000e+00,32
2,7,7.47794184e-05,5.98832012e-05,0.00000000e+00,69
2,8,8.48496420e-05,6.29915667e-05,4.44639727e-06,13456
2,9,7.30537722e-05,6.06096110e-05,0.00000000e+00,10
2,10,7.58784154e-05,6.45278633e-05,1.13158512e-06,2596
2,11,7.20751268e-05,6.87845313e-05,2.92780584e-07,498
2,12,2.32190905e-05,7.35550493e-05,5.34466949e-07,819
2,13,8.82904278e-05,7.67950114e-05,1.54479005e-06,1477
2,14,2.17561810e-05,8.55263206e-05,4.28354997e-06,10097
2,15,8.24804156e-05,8.75880578e-05,5.15774332e-07,336
2,16,1.21354169e-04,9.30090318e-05,2.07973676e-06,3257
2,17,4.99816542e-06,1.04790110e-04,2.49077630e-06,2008
2,18,1.01677775e-04,1.10579778e-04,4.93263951e-06,14485
2,19,1.83891098e-05,1.14472983e-04,4.33064542e-06,16743
2,20,5.58559623e-05,1.16115196e-04,1.11480790e-06,2248
2,21,9.86194063e-05,1.18566815e-04,6.89623789e-07,1770
2,22,1.14112408e-04,1.18704964e-04,2.33510877e-06,4963
2,23,8.35961182e-05,8.99766019e-05,8.83361099e-06,1533
2,24,1.22086902e-04,9.15247292e-05,1.26173700e-05,3230
2,25,9.30577662e-05,1.11999165e-04,1.12499583e-05,1864
2,26,9.95804148e-05,4.60105257e-05,1.71021184e-05,3378
2,27,4.93963635e-05,1.42228573e-05,1.73322569e-05,1998
2,28,1.38730320e-04,3.52941970e-05,1.57097475e-05,19
2,29,7.91817001e-05,4.50201769e-05,1.77992206e-05,932
2,30,1.06426938e-04,1.07173269e-04,1.79537637e-05,1516
2,31,8.22674774e-05,6.73451650e-05,2.83810768e-05,13585
2,32,1.21035751e-04,7.64844590e-05,2.03391028e-05,1385
2,33,1.35958471e-05,2.49378954e-05,2.07942066e-05,125
2,34,1.00294892e-04,1.20984274e-04,2.48709457e-05,1345
2,35,1.31252134e-04,5.69902659e-05,2.70343589e-05,3640
2,36,1.21187950e-05,3.92783331e-05,2.49091754e-05,327
2,37,2.86494178e-05,1.03792401e-04,2.59981334e-05,205
2,38,7.20578782e-06,7.10173845e-05,2.76212195e-05,520
2,39,7.54254870e-05,1.23943828e-04,3.15136422e-05,2732
2,40,5.34748142e-05,8.72266100e-05,3.06026523e-05,111
2,41,1.27941646e-04,2.66051466e-05,3.14049503e-05,665
2,42,5.42819580e-05,8.59983411e-05,3.62239225e-05,3452
2,43,1.05500389e-04,3.83972547e-05,3.51892850e-05,2574
2,44,7.60895709e-05,5.55030783e-05,4.36760747e-05,7294
2,45,2.56370749e-05,1.28601285e-04,3.73912153e-05,2724
2,46,9.86167433e-05,1.13159704e-05,3.69986592e-05,320
2,47,1.11968446e-04,3.57330391e-05,3.94044873e-05,954
2,48,6.90643137e-05,5.28944256e-05,3.83178412e-05,115
2,49,9.36398719e-05,5.33062848e-05,3.98975499e-05,2081
2,50,4.14076931e-05,1.33021211e-04,4.18556265e-05,4394
2,51,1.08331049e-04,2.26498760e-05,4.12743066e-05,1690
2,52,5.73069192e-05,8.67388735e-05,4.05298524e-05,1251
2,53,6.53726674e-05,1.35191134e-04,4.26711558e-05,2029
2,54,8.84876354e-05,1.12770313e-05,4.24604550e-05,384
2,55,5.25783653e-05,2.84788657e-05,4.26545703e-05,709
2,56,5.08318262e-05,6.36305704e-05,4.33683526e-05,590
2,57,1.41716855e-05,5.31560436e-05,4.56030939e-05,2246
2,58,3.96460055e-05,3.09509028e-06,4.36919618e-05,57
2,59,7.08172010e-05,5.37250598e-05,4.63734032e-05,3502
2,60,1.88586400e-05,5.68371906e-05,4.44753641e-05,802
2,61,1.36970484e-04,1.13373251e-04,5.02550574e-05,2225
2,62,2.88608844e-05,2.13750918e-05,4.71532949e-05,314
2,63,1.15844712e-04,4.23769743e-05,5.04691016e-05,3648
2,64,4.42062155e-05,1.04920582e-04,5.08904341e-05,1825
2,65,1.16703441e-05,3.08501767e-05,5.04910058e-05,328
2,66,1.75643308e-05,7.09809538e-05,5.11436883e-05,1110
2,67,1.13200571e-04,2.45308911e-05,5.20603244e-05,983
2,68,4.56531343e-05,1.24586455e-04,5.48523567e-05,4853
2,69,1.12926929e-04,1.29821157e-04,5.38834211e-05,2100
2,70,3.36438497e-05,9.02892280e-05,5.36808584e-05,2338
2,71,5.01403629e-05,9.04051994e-05,5.33502607e-05,2757
2,72,9.21457904e-05,1.18117488e-04,5.50412551e-05,2181
2,73,5.40248657e-05,1.14858985e-05,5.60594526e-05,329
2,74,8.98794460e-05,6.70403606e-05,5.55740335e-05,184
2,75,5.39094108e-05,1.00625271e-04,5.54769649e-05,44
2,76,7.79697366e-05,1.24395985e-04,5.71275195e-05,2161
2,77,9.19301092e-05,1.15713174e-05,5.84605550e-05,1130
2,78,7.37860537e-05,5.50144396e-05,5.66850067e-05,121
2,79,1.40822849e-05,3.74014598e-05,5.86358183e-05,427
2,80,6.42875020e-05,5.13107843e-05,5.96772952e-05,1640
2,81,8.86761336e-05,6.64908148e-05,6.13385128e-05,4401
2,82,7.96187014e-05,5.51476442e-05,6.15279423e-05,931
2,83,5.16073997e-05,8.91319287e-05,6.02012697e-05,52
2,84,5.14839958e-05,2.49918558e-05,6.15988029e-05,1834
2,85,6.99566663e-05,6.23318192e-05,6.24393506e-05,1843
2,86,5.27047559e-05,9.94176662e-05,6.20156861e-05,1429
2,87,1.37908546e-05,5.05791286e-05,6.14904420e-05,211
2,88,1.43990246e-05,1.00133562e-04,6.27140616e-05,2786
2,89,1.18029675e-04,2.78482912e-05,6.21674772e-05,463
2,90,4.00413737e-05,3.22748565e-05,6.26934343e-05,1120
2,91,6.71046655e-05,8.90320807e-05,6.28300986e-05,990
2,92,5.32245831e-05,1.02322556e-04,6.26592955e-05,1317
2,93,5.40797519e-05,1.00653851e-04,6.97289870e-05,59
3,1,9.44938729e-05,3.26470126e-06,0.00000000e+00,27
3,2,2.56911753e-05,2.73360693e-05,4.38417192e-06,6926
3,3,1.01131860e-04,4.30412911e-05,2.56646587e-07,92
3,4,9.94830334e-05,4.69373044e-05,0.00000000e+00,30
3,5,9.91548441e-05,4.90614220e-05,1.44997799e-07,114
3,6,9.97009774e-05,5.18082961e-05,2.60153683e-07,144
3,7,8.53429185e-07,5.62643691e-05,4.31326782e-07,446
3,8,7.63720454e-05,5.93128534e-05,1.11953362e-07,234
3,9,8.46888943e-05,6.33870732e-05,5.02351440e-06,13024
3,10,7.43243872e-05,6.28523267e-05,1.62236191e-07,119
3,11,7.23536214e-05,6.38925194e-05,1.79787691e-07,341
3,12,7.80411210e-05,6.37212288e-05,1.40581687e-06,658
3,13,7.17867370e-05,6.90135203e-05,0.00000000e+00,24
