HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
1,1,9.39503370e-05,1.44180535e-06,2.60730508e-06,2085
1,2,2.58098516e-05,2.72897596e-05,4.09665881e-06,8487
1,3,9.84189537e-05,4.57185306e-05,0.00000000e+00,18
1,4,8.45852192e-05,5.82426437e-05,0.00000000e+00,12
1,5,8.53628153e-05,6.26205365e-05,4.24401287e-06,10171
1,6,7.69568796e-05,6.53905081e-05,2.26559081e-07,213
1,7,7.43422497e-05,7.03170372e-05,3.70673305e-08,40
1,8,7.82292191e-05,7.07527652e-05,7.89067567e-09,62
1,9,7.63062126e-05,7.19347372e-05,3.24619776e-07,257
1,10,2.33755982e-05,7.37495866e-05,5.04774164e-07,861
1,11,8.79864238e-05,7.68132231e-05,1.58455816e-06,2346
1,12,2.18314090e-05,8.54577229e-05,4.29757347e-06,11560
1,13,1.21892168e-04,9.16871431e-05,8.87147598e-06,10318
1,14,4.25822009e-06,1.04162646e-04,2.44137686e-06,1919
1,15,1.01652033e-04,1.10467510e-04,4.83812755e-06,11130
1,16,1.83858574e-05,1.14573704e-04,4.32533579e-06,16929
1,17,5.60221779e-05,1.17059550e-04,1.22228982e-06,2620
1,18,9.95642986e-05,1.17040174e-04,4.32064354e-07,470
1,19,1.14952629e-04,1.18685282e-04,2.03492664e-06,4256
1,20,9.78080498e-05,1.20319048e-04,9.05048466e-07,1650
1,21,8.35708779e-05,9.00443192e-05,9.16150384e-06,1117
1,22,9.29228772e-05,1.11982394e-04,1.12338657e-05,2284
1,23,4.89904996e-05,1.39246331e-05,1.68768420e-05,2000
1,24,9.92724454e-05,4.60548581e-05,1.75729383e-05,2808
1,25,1.06380052e-04,1.07268403e-04,1.80227398e-05,1707
1,26,7.85528464e-05,4.55927657e-05,1.78930768e-05,817
1,27,8.22980146e-05,6.74562543e-05,2.78744174e-05,11602
1,28,1.20865516e-04,7.70178231e-05,2.04458502e-05,1124
1,29,1.34852789e-05,2.48435608e-05,2.10069265e-05,202
1,30,1.00095996e-04,1.20902834e-04,2.48630804e-05,1246
1,31,1.31267487e-04,5.69987133e-05,2.65993185e-05,3375
1,32,1.19453734e-05,3.93578775e-05,2.49296463e-05,326
1,33,2.86318063e-05,1.03761246e-04,2.60400084e-05,156
1,34,6.67410495e-06,7.04373961e-05,2.79372562e-05,999
1,35,7.58346359e-05,1.23549020e-04,3.21521511e-05,1780
1,36,1.27886131e-04,2.59959343e-05,3.17496379e-05,781
1,37,1.05536797e-04,3.86107313e-05,3.51822673e-05,3078
1,38,5.42411290e-05,8.60662913e-05,3.64921834e-05,2911
1,39,2.56711410e-05,1.28446103e-04,3.73777584e-05,2980
1,40,9.85335064e-05,1.13242850e-05,3.68529290e-05,274
1,41,4.13919806e-05,1.33099631e-04,4.20304241e-05,4712
1,42,1.12226400e-04,3.58317629e-05,3.96132818e-05,865
1,43,9.42981205e-05,5.34620194e-05,4.01082434e-05,1618
1,44,7.62686250e-05,5.56186460e-05,4.46215636e-05,6118
1,45,1.08332635e-04,2.25176482e-05,4.13511953e-05,1838
1,46,5.73324724e-05,8.67915078e-05,4.06851650e-05,941
1,47,6.55510958e-05,1.35623399e-04,4.23227320e-05,1771
1,48,8.82607274e-05,1.11773206e-05,4.27710838e-05,535
1,49,5.25589785e-05,2.84169128e-05,4.23836682e-05,374
1,50,5.07399382e-05,6.33602976e-05,4.35050861e-05,656
1,51,7.06153514e-05,5.38038767e-05,4.60427436e-05,3051
1,52,1.42498702e-05,5.31559599e-05,4.55331028e-05,1547
1,53,1.87814385e-05,5.68917494e-05,4.46325757e-05,1078
1,54,8.47940100e-06,6.58865756e-05,4.60761039e-05,73
1,55,1.36703966e-04,1.13062029e-04,5.00362112e-05,1577
1,56,2.88796600e-05,2.13295298e-05,4.71443818e-05,318
1,57,1.15461422e-04,4.27201849e-05,5.06928009e-05,3636
1,58,8.63774549e-05,7.01112440e-05,4.80746712e-05,40
1,59,4.42426244e-05,1.04915940e-04,5.08201447e-05,1727
1,60,1.13501112e-04,1.29385327e-04,5.37766064e-05,2681
1,61,1.11104509e-05,3.08286908e-05,5.09641905e-05,755
1,62,1.76764461e-05,7.09348606e-05,5.09975434e-05,1043
1,63,1.13163718e-04,2.45303581e-05,5.19677160e-05,961
1,64,4.58365867e-05,1.24692757e-04,5.45427356e-05,4934
1,65,3.35883524e-05,9.02304309e-05,5.35854815e-05,2148
1,66,5.01303730e-05,9.03663604e-05,5.31781261e-05,2424
1,67,9.21907413e-05,1.18031297e-04,5.51841549e-05,1291
1,68,7.81339841e-05,1.24322920e-04,5.72790450e-05,2108
1,69,5.40200635e-05,1.13495407e-05,5.65553964e-05,143
1,70,8.84651454e-05,6.68064531e-05,6.15013196e-05,4909
1,71,7.36621805e-05,5.49632350e-05,5.68947398e-05,196
1,72,9.19017766e-05,1.15243010e-05,5.86170827e-05,730
1,73,1.49534026e-05,3.74926603e-05,5.86218521e-05,359
1,74,7.89905971e-05,5.45583971e-05,6.08313239e-05,1946
1,75,6.38249767e-05,5.20653557e-05,5.99594568e-05,1654
1,76,5.11211729e-05,2.51964339e-05,6.16502439e-05,1527
1,77,6.98861040e-05,6.23767191e-05,6.25002867e-05,1833
1,78,5.32998783e-05,9.86192535e-05,6.18510458e-05,970
1,79,1.18174161e-04,2.80676904e-05,6.22888547e-05,726
1,80,3.97877884e-05,3.27356393e-05,6.26681212e-05,871
1,81,6.70295922e-05,8.92584576e-05,6.26970432e-05,1225
1,82,1.47271121e-05,9.98617979e-05,6.27536429e-05,2163
1,83,5.29471945e-05,1.02138678e-04,6.26246183e-05,1566
1,84,1.38710193e-05,5.08867379e-05,6.22808657e-05,57
2,1,9.37220684e-05,1.97857503e-06,3.22439223e-06,1333
2,2,2.57749780e-05,2.73491733e-05,4.29899956e-06,8092
2,3,1.01071942e-04,4.32457855e-05,7.06186825e-07,469
2,4,9.89075997e-05,4.83321819e-05,2.63302809e-07,598
2,5,4.12287818e-07,5.57366220e-05,4.46823691e-07,282
2,6,2.43851937e-05,5.69463664e-05,0.00000000e+00,32
2,7,7.47794402e-05,5.98832048e-05,0.00000000e+00,69
2,8,8.48495984e-05,6.29915448e-05,4.44639500e-06,13456
2,9,7.30537868e-05,6.06096255e-05,0.00000000e+00,10
2,10,7.58784736e-05,6.45279215e-05,1.13158580e-06,2596
2,11,7.20751050e-05,6.87845313e-05,2.92780555e-07,498
2,12,2.32190978e-05,7.35550784e-05,5.34467233e-07,819
2,13,8.82904060e-05,7.67949750e-05,1.54478937e-06,1477
2,14,2.17561919e-05,8.55263133e-05,4.28355042e-06,10097
2,15,8.24803938e-05,8.75880578e-05,5.15774332e-07,336
2,16,1.21354111e-04,9.30090027e-05,2.07973562e-06,3257
2,17,4.99816724e-06,1.04790117e-04,2.49077607e-06,2008
2,18,1.01677826e-04,1.10579851e-04,4.93263906e-06,14485
2,19,1.83891170e-05,1.14472947e-04,4.33064406e-06,16743
2,20,5.58559404e-05,1.16115152e-04,1.11480711e-06,2248
2,21,9.86193918e-05,1.18566859e-04,6.89623562e-07,1770
2,22,1.14112336e-04,1.18704927e-04,2.33510764e-06,4963
2,23,8.35961037e-05,8.99766674e-05,8.83360826e-06,1533
2,24,1.22086873e-04,9.15247292e-05,1.26173727e-05,3230
2,25,9.30577662e-05,1.11999150e-04,1.12499565e-05,1864
2,26,9.95804512e-05,4.60106057e-05,1.71021184e-05,3378
2,27,4.93963635e-05,1.42228573e-05,1.73322551e-05,1998
2,28,1.38730320e-04,3.52941970e-05,1.57097475e-05,19
2,29,7.91817147e-05,4.50201951e-05,1.77992224e-05,932
2,30,1.06426924e-04,1.07173255e-04,1.79537528e-05,1516
2,31,8.22675211e-05,6.73451796e-05,2.83810750e-05,13585
2,32,1.21035722e-04,7.64844372e-05,2.03390991e-05,1385
2,33,1.35958462e-05,2.49378936e-05,2.07942048e-05,125
2,34,1.00294848e-04,1.20984252e-04,2.48709221e-05,1345
2,35,1.31252134e-04,5.69902877e-05,2.70343626e-05,3640
2,36,1.21187968e-05,3.92783368e-05,2.49091772e-05,327
2,37,2.86494178e-05,1.03792408e-04,2.59981389e-05,205
2,38,7.20579101e-06,7.10173699e-05,2.76212177e-05,520
2,39,7.54254870e-05,1.23943857e-04,3.15136458e-05,2732
2,40,5.34748178e-05,8.72266100e-05,3.06026523e-05,111
2,41,1.27941646e-04,2.66051447e-05,3.14049576e-05,665
2,42,5.42819689e-05,8.59983920e-05,3.62239407e-05,3452
2,43,1.05500440e-04,3.83972547e-05,3.51892886e-05,2574
2,44,7.60895782e-05,5.55030711e-05,4.36761075e-05,7294
2,45,2.56370695e-05,1.28601198e-04,3.73911898e-05,2724
2,46,9.86167579e-05,1.13159704e-05,3.69986592e-05,320
2,47,1.11968468e-04,3.57330573e-05,3.94045019e-05,954
2,48,6.90643064e-05,5.28944074e-05,3.83178340e-05,115
2,49,9.36398792e-05,5.33063030e-05,3.98975426e-05,2081
2,50,4.14076931e-05,1.33021240e-04,4.18556301e-05,4394
2,51,1.08331034e-04,2.26498632e-05,4.12743029e-05,1690
2,52,5.73069228e-05,8.67388808e-05,4.05298561e-05,1251
2,53,6.53726165e-05,1.35191091e-04,4.26711376e-05,2029
2,54,8.84876354e-05,1.12770304e-05,4.24604477e-05,384
2,55,5.25783398e-05,2.84788584e-05,4.26545485e-05,709
2,56,5.08318262e-05,6.36305776e-05,4.33683526e-05,590
2,57,1.41716746e-05,5.31560254e-05,4.56030903e-05,2246
2,58,3.96460127e-05,3.09509051e-06,4.36919690e-05,57
2,59,7.08171938e-05,5.37250817e-05,4.63733886e-05,3502
2,60,1.88586328e-05,5.68371834e-05,4.44753423e-05,802
2,61,1.36970571e-04,1.13373339e-04,5.02550974e-05,2225
2,62,2.88608790e-05,2.13750882e-05,4.71532840e-05,314
2,63,1.15844778e-04,4.23769889e-05,5.04691052e-05,3648
2,64,4.42062083e-05,1.04920502e-04,5.08903940e-05,1825
2,65,1.16703432e-05,3.08501767e-05,5.04909840e-05,328
2,66,1.75643345e-05,7.09809538e-05,5.11437065e-05,1110
2,67,1.13200593e-04,2.45308984e-05,5.20603462e-05,983
2,68,4.56530943e-05,1.24586397e-04,5.48523494e-05,4853
2,69,1.12926980e-04,1.29821172e-04,5.38834356e-05,2100
2,70,3.36438570e-05,9.02892571e-05,5.36808766e-05,2338
2,71,5.01403483e-05,9.04051703e-05,5.33502753e-05,2757
2,72,9.21458122e-05,1.18117576e-04,5.50412515e-05,2181
2,73,5.40248875e-05,1.14859004e-05,5.60594708e-05,329
2,74,8.98794606e-05,6.70403679e-05,5.55740335e-05,184
2,75,5.39094290e-05,1.00625279e-04,5.54769867e-05,44
2,76,7.79697220e-05,1.24395985e-04,5.71275523e-05,2161
2,77,9.19301528e-05,1.15713219e-05,5.84605623e-05,1130
2,78,7.37860610e-05,5.50144432e-05,5.66850067e-05,121
2,79,1.40822858e-05,3.74014562e-05,5.86358183e-05,427
2,80,6.42875020e-05,5.13107807e-05,5.96772989e-05,1640
2,81,8.86761118e-05,6.64908075e-05,6.13384836e-05,4401
2,82,7.96186796e-05,5.51476442e-05,6.15279423e-05,931
2,83,5.16074033e-05,8.91319432e-05,6.02012842e-05,52
2,84,5.14839885e-05,2.49918594e-05,6.15987810e-05,1834
2,85,6.99566808e-05,6.23318556e-05,6.24393870e-05,1843
2,86,5.27047523e-05,9.94176953e-05,6.20157007e-05,1429
2,87,1.37908537e-05,5.05791249e-05,6.14904420e-05,211
2,88,1.43990292e-05,1.00133584e-04,6.27140471e-05,2786
2,89,1.18029682e-04,2.78482930e-05,6.21674917e-05,463
2,90,4.00413774e-05,3.22748601e-05,6.26934561e-05,1120
2,91,6.71046655e-05,8.90320807e-05,6.28300913e-05,990
