HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
1,1,9.40709288e-05,1.50207632e-06,2.05110905e-06,725
1,2,2.58624368e-05,2.72069137e-05,3.69750546e-06,6962
1,3,8.55192848e-05,6.27249756e-05,3.33907951e-06,4633
1,4,2.33137471e-05,7.37412265e-05,4.20773034e-08,92
1,5,8.80454536e-05,7.67900565e-05,3.47104219e-07,331
1,6,2.33360606e-05,8.38034030e-05,5.05071739e-07,728
1,7,2.13643089e-05,8.57404302e-05,5.11106509e-06,3445
1,8,1.21274003e-04,9.31269678e-05,5.50214281e-07,738
1,9,4.33372315e-06,1.04141727e-04,2.16085459e-06,822
1,10,1.01368008e-04,1.08605847e-04,9.55503197e-07,1111
1,11,1.83043921e-05,1.14642367e-04,3.63768072e-06,10277
1,12,1.02340382e-04,1.13819835e-04,3.44899348e-07,202
1,13,5.59566724e-05,1.17090829e-04,9.50438505e-07,1249
1,14,1.14916642e-04,1.18705044e-04,1.65555991e-06,1395
1,15,9.76860101e-05,1.20323079e-04,5.07271466e-07,459
1,16,8.77249986e-05,7.68211758e-05,3.20081017e-06,10
1,17,8.36024119e-05,9.00959567e-05,9.11045117e-06,128
1,18,1.01575832e-04,1.10784888e-04,9.80403547e-06,1082
1,19,1.21950514e-04,9.12234464e-05,1.23738073e-05,2372
1,20,9.29489834e-05,1.11992158e-04,1.10232186e-05,579
1,21,4.89662998e-05,1.39203385e-05,1.67893195e-05,844
1,22,9.93282374e-05,4.60931587e-05,1.75547575e-05,1015
1,23,7.85732263e-05,4.55741101e-05,1.78159407e-05,87
1,24,1.06410880e-04,1.07279833e-04,1.79889375e-05,275
1,25,1.20866942e-04,7.70073602e-05,2.03135805e-05,451
1,26,1.34425627e-05,2.48543674e-05,2.08914771e-05,405
1,27,8.21758003e-05,6.75174815e-05,2.77774125e-05,6628
1,28,1.19382184e-05,3.93374976e-05,2.50155172e-05,345
1,29,1.31262830e-04,5.69958065e-05,2.65785366e-05,1890
1,30,1.00082761e-04,1.20895034e-04,2.47253211e-05,176
1,31,6.61435479e-06,7.04552658e-05,2.79006126e-05,465
1,32,1.27885069e-04,2.59452536e-05,3.17014128e-05,423
1,33,1.40508506e-04,1.64036319e-05,3.12671327e-05,54
1,34,7.58680253e-05,1.23542195e-04,3.20575127e-05,326
1,35,1.05567771e-04,3.85822532e-05,3.51190029e-05,1738
1,36,5.43027709e-05,8.59928259e-05,3.65347732e-05,788
1,37,2.57064748e-05,1.28452506e-04,3.73911571e-05,1228
1,38,9.84574872e-05,1.13969700e-05,3.66145869e-05,35
1,39,1.12241760e-04,3.58685684e-05,3.95217467e-05,351
1,40,9.42948463e-05,5.35026811e-05,4.01322468e-05,555
1,41,4.14283786e-05,1.33109483e-04,4.19529497e-05,2238
1,42,1.08319451e-04,2.25375115e-05,4.12424670e-05,812
1,43,7.62758718e-05,5.55852130e-05,4.48418468e-05,2425
1,44,5.73621328e-05,8.68009956e-05,4.06554936e-05,78
1,45,6.55152471e-05,1.35653871e-04,4.21975310e-05,375
1,46,8.82260356e-05,1.11550735e-05,4.27778832e-05,79
1,47,5.07748773e-05,6.33926975e-05,4.34904578e-05,56
1,48,1.41793344e-05,5.31922378e-05,4.54039400e-05,911
1,49,1.88097056e-05,5.68917421e-05,4.45792284e-05,459
1,50,7.06036299e-05,5.37814340e-05,4.61037234e-05,1048
1,51,2.88631509e-05,2.13528638e-05,4.71210988e-05,219
1,52,1.15451861e-04,4.27390187e-05,5.06939723e-05,2371
1,53,1.36829622e-04,1.13080947e-04,5.03177398e-05,201
1,54,1.10903920e-05,3.08740018e-05,5.09974816e-05,827
1,55,1.76285066e-05,7.09601081e-05,5.09928286e-05,286
1,56,4.42543969e-05,1.04918727e-04,5.08857775e-05,357
1,57,1.13129267e-04,2.44717339e-05,5.20480171e-05,404
1,58,4.58590475e-05,1.24704689e-04,5.45412440e-05,2614
1,59,3.36152043e-05,9.02037573e-05,5.35657891e-05,583
1,60,5.01018440e-05,9.03425826e-05,5.31685837e-05,492
1,61,1.13454094e-04,1.29383901e-04,5.42447342e-05,412
1,62,9.22956970e-05,1.17875905e-04,5.53793761e-05,25
1,63,7.79210895e-05,1.24325961e-04,5.72391909e-05,195
1,64,1.49511834e-05,3.75502532e-05,5.85992711e-05,342
1,65,9.19306985e-05,1.14269769e-05,5.89170013e-05,104
1,66,6.38039273e-05,5.20548892e-05,5.98903935e-05,497
1,67,7.89924306e-05,5.45674957e-05,6.10481875e-05,392
1,68,8.84514375e-05,6.67991408e-05,6.15454410e-05,1978
1,69,5.11328290e-05,2.52024947e-05,6.16494144e-05,627
1,70,6.98385338e-05,6.24055538e-05,6.24319437e-05,545
1,71,1.18232841e-04,2.81351276e-05,6.23264277e-05,314
1,72,3.98079646e-05,3.27274101e-05,6.26809051e-05,342
1,73,6.70658046e-05,8.92308090e-05,6.27876434e-05,176
1,74,5.33062994e-05,9.86144078e-05,6.18702834e-05,66
1,75,5.29525714e-05,1.02125283e-04,6.25660468e-05,389
1,76,1.46257098e-05,9.98926116e-05,6.27362460e-05,400
2,1,9.42430197e-05,2.62337630e-06,1.79466909e-07,69
2,2,2.58434320e-05,2.72770394e-05,3.91776348e-06,6512
2,3,1.01115416e-04,4.31386397e-05,2.10534779e-07,78
2,4,2.32338195e-07,5.58430584e-05,3.43850814e-07,107
2,5,2.43574905e-05,5.69874610e-05,1.80012194e-07,55
2,6,8.48698692e-05,6.29848728e-05,3.43942679e-06,6378
2,7,7.18172814e-05,6.81362944e-05,7.59640315e-08,39
2,8,2.30202604e-05,7.33888955e-05,1.16440077e-07,72
2,9,8.87288406e-05,7.67177771e-05,1.56375634e-07,54
2,10,2.29368998e-05,8.35661922e-05,5.00988278e-07,557
2,11,2.04482494e-05,8.66584305e-05,7.79189634e-07,624
2,12,1.21366757e-04,9.31633258e-05,5.35502750e-07,657
2,13,5.00245687e-06,1.04717852e-04,2.10845997e-06,1116
2,14,1.01374884e-04,1.08569737e-04,1.17489583e-06,1545
2,15,1.82968488e-05,1.14533643e-04,3.62980268e-06,10004
2,16,1.02488288e-04,1.13661314e-04,5.35638037e-07,483
2,17,5.57767598e-05,1.16177114e-04,7.99898885e-07,948
2,18,1.14107621e-04,1.18718206e-04,1.89575587e-06,2016
2,19,9.74387731e-05,1.20104072e-04,2.95056083e-07,124
2,20,9.34878844e-05,1.78476887e-06,4.86987938e-06,102
2,21,2.18320420e-05,8.55399703e-05,7.01680392e-06,1687
2,22,1.20809695e-04,9.29286180e-05,4.15371960e-06,13
2,23,8.36181498e-05,9.00236919e-05,8.77496495e-06,331
2,24,1.01599624e-04,1.10769230e-04,9.64779974e-06,1547
2,25,1.22086087e-04,9.15385244e-05,1.26709574e-05,1298
2,26,9.30802998e-05,1.12029018e-04,1.09666480e-05,330
2,27,8.41584479e-05,6.25786270e-05,1.16043148e-05,86
2,28,4.93964108e-05,1.42410936e-05,1.72665841e-05,828
2,29,9.95408991e-05,4.60554438e-05,1.71721058e-05,1144
2,30,7.91675993e-05,4.50211955e-05,1.77358488e-05,135
2,31,1.06429870e-04,1.07183201e-04,1.78911978e-05,211
2,32,1.21004727e-04,7.64930373e-05,2.02219508e-05,555
2,33,1.35609880e-05,2.49538734e-05,2.07729572e-05,275
2,34,8.20846035e-05,6.73898539e-05,2.77110248e-05,6950
2,35,1.20905215e-05,3.92512266e-05,2.47694970e-05,250
2,36,1.00277713e-04,1.20973455e-04,2.47948283e-05,205
2,37,1.31250781e-04,5.69897529e-05,2.69858665e-05,2113
2,38,7.11052053e-06,7.10036256e-05,2.76302726e-05,186
2,39,7.54333741e-05,1.23934442e-04,3.14716381e-05,845
2,40,1.27960404e-04,2.65616709e-05,3.13353885e-05,324
2,41,1.05543106e-04,3.83801562e-05,3.50154296e-05,1271
2,42,5.43081842e-05,8.59259380e-05,3.63410254e-05,988
2,43,2.56685144e-05,1.28605345e-04,3.74177653e-05,1029
2,44,9.85427832e-05,1.13456927e-05,3.68918591e-05,47
2,45,1.11948379e-04,3.57838180e-05,3.93689370e-05,340
2,46,9.36108772e-05,5.33489510e-05,3.98232878e-05,720
2,47,7.61745687e-05,5.54798789e-05,4.41612028e-05,3000
2,48,4.14269998e-05,1.33029083e-04,4.17138981e-05,2162
2,49,1.08336222e-04,2.26659813e-05,4.11647452e-05,780
2,50,5.73151556e-05,8.67602866e-05,4.05125429e-05,179
2,51,6.53724637e-05,1.35234644e-04,4.24570280e-05,438
2,52,8.84479450e-05,1.12613689e-05,4.24204300e-05,31
2,53,5.25425166e-05,2.85227215e-05,4.26107217e-05,125
2,54,1.41479941e-05,5.31619335e-05,4.54928668e-05,1349
2,55,5.08905541e-05,6.36727636e-05,4.34250542e-05,54
2,56,1.88956219e-05,5.68213909e-05,4.44129473e-05,348
