HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
1,1,2.56492949e-05,2.70284982e-05,1.30645986e-07,108
1,2,8.37947955e-05,6.22371736e-05,1.89348964e-06,242
1,3,2.19660997e-05,8.55566250e-05,2.22132655e-07,160
1,4,8.34209495e-05,9.01865569e-05,2.44658480e-07,135
1,5,1.21935605e-04,9.12430769e-05,2.64112009e-06,1918
1,6,1.01413352e-04,1.10789137e-04,6.10681298e-07,653
1,7,9.28781083e-05,1.11969290e-04,1.35680273e-06,846
1,8,1.91029012e-05,1.14742870e-04,6.29739645e-07,320
1,9,4.89898375e-05,1.39356052e-05,6.83501503e-06,1372
1,10,1.38031624e-04,3.52738389e-05,5.43378746e-06,55
1,11,9.93465874e-05,4.60795818e-05,7.74416185e-06,1485
1,12,1.06330095e-04,1.07219290e-04,7.94059906e-06,724
1,13,7.85610100e-05,4.55899717e-05,7.91739967e-06,508
1,14,1.20856414e-04,7.70262777e-05,1.04015025e-05,918
1,15,1.34440852e-05,2.48957331e-05,1.09570246e-05,752
1,16,8.38530323e-05,6.68189605e-05,1.43527477e-05,234
1,17,8.20935093e-05,6.75283591e-05,1.79233775e-05,4686
1,18,1.18551370e-05,3.94080016e-05,1.48376466e-05,690
1,19,1.31272420e-04,5.70035918e-05,1.65820493e-05,1841
1,20,1.00067868e-04,1.20899829e-04,1.48232630e-05,536
1,21,2.84373655e-05,1.03880782e-04,1.60718955e-05,66
1,22,6.63517812e-06,7.04851191e-05,1.79707895e-05,862
1,23,1.40292017e-04,1.65183319e-05,2.13480071e-05,229
1,24,1.27895255e-04,2.60179586e-05,2.17342840e-05,895
1,25,7.57960588e-05,1.23558930e-04,2.22031522e-05,796
1,26,1.05503452e-04,3.86449829e-05,2.51383844e-05,1655
1,27,5.42357593e-05,8.60624568e-05,2.64198516e-05,1051
1,28,2.56567819e-05,1.28460728e-04,2.73495061e-05,1541
1,29,8.50383585e-05,6.66164851e-05,2.66825627e-05,96
1,30,9.85356528e-05,1.13368569e-05,2.68714157e-05,316
1,31,1.12232781e-04,3.58784637e-05,2.97261377e-05,743
1,32,1.08271081e-04,2.24463929e-05,3.14389217e-05,1227
1,33,9.42579572e-05,5.34922365e-05,3.01131367e-05,946
1,34,4.13439557e-05,1.33104448e-04,3.20377694e-05,2196
1,35,7.61973424e-05,5.54496582e-05,3.50872106e-05,2648
1,36,5.73256148e-05,8.67732815e-05,3.06894653e-05,424
1,37,5.24489478e-05,2.84792714e-05,3.23555760e-05,310
1,38,6.55637778e-05,1.35634982e-04,3.22458036e-05,808
1,39,8.84251931e-05,1.12306179e-05,3.27486705e-05,317
1,40,3.97953117e-05,3.79358812e-06,3.34487922e-05,54
1,41,1.41725477e-05,5.30922080e-05,3.53226314e-05,1156
1,42,5.06689794e-05,6.32971787e-05,3.34592150e-05,449
1,43,1.87706009e-05,5.69040203e-05,3.46466841e-05,930
1,44,7.05239727e-05,5.38172571e-05,3.60441518e-05,1220
